ID,PValue,logFC
hsa-miR-93-5p,0.00000091,2.90565
hsa-miR-585-3p,0.00045823,-1.95889
hsa-miR-515-5p,0.0010083,-2.77686
hsa-miR-520f-3p,0.00116062,-1.20301
hsa-miR-19a-3p,0.00137104,2.07087
hsa-miR-301b-3p,0.00139137,-1.87384
ath-miR159a,0.00382603,-0.73127
hsa-miR-553,0.00385272,-1.62757
hsa-miR-146b-3p,0.00385485,-1.31882
hsa-miR-197-3p,0.00448634,1.55211
hsa-miR-4455,0.00494459,-0.67419
hsa-miR-29a-3p,0.00527094,-0.68791
hsa-miR-133a-5p,0.00638883,-1.89293
hsa-miR-1827,0.00775361,-1.58294
hsa-miR-522-3p,0.00967279,-1.23782
hsa-miR-24-3p,0.00979662,1.54903
hsa-miR-499a-5p,0.01066633,-2.40402
hsa-miR-20a-5p+hsa-miR-20b-5p,0.01194184,1.41764
hsa-miR-548z+hsa-miR-548h-3p,0.01223586,-0.65536
hsa-miR-2110,0.01256997,-1.05584
hsa-miR-302a-3p,0.01294212,-1.63133
hsa-miR-206,0.01299228,-1.03245
hsa-miR-1268b,0.01348635,-1.0919
hsa-miR-98-5p,0.01563358,1.13338
hsa-miR-147b,0.01685353,-1.43061
hsa-miR-548e-3p,0.01743701,-1.09267
hsa-miR-15a-5p,0.0181827,1.41534
hsa-miR-511-5p,0.01875053,-2.06712
hsa-miR-328-5p,0.01896455,-1.42369
hsa-miR-105-5p,0.01904309,-0.67503
hsa-miR-450a-2-3p,0.0205258,-1.28794
hsa-miR-183-5p,0.02054332,-1.71638
hsa-miR-548y,0.02166722,-1.31509
hsa-miR-106a-5p+hsa-miR-17-5p,0.0220119,1.59393
hsa-miR-378d,0.02215252,-1.11917
hsa-miR-1290,0.02218764,-0.64079
hsa-miR-19b-3p,0.02266667,1.74247
hsa-miR-98-3p,0.02267729,-0.47327
hsa-miR-323a-3p,0.02426545,1.12082
hsa-miR-1255a,0.02445696,-1.54932
hsa-miR-208b-3p,0.02506233,-0.86696
hsa-miR-549a,0.02577498,-0.56272
hsa-miR-495-3p,0.02654098,-0.79276
hsa-miR-487b-3p,0.02705695,-0.53694
hsa-miR-187-3p,0.02725754,-0.57534
hsa-miR-613,0.02837631,-0.50355
hsa-miR-494-5p,0.02840842,-0.45262
hsa-miR-299-5p,0.02987815,-0.82466
hsa-miR-1976,0.03069766,-0.83883
hsa-miR-508-3p,0.03153806,-0.874
hsa-miR-1302,0.03158951,-0.88058
hsa-miR-326,0.03209828,-0.43237
hsa-miR-15b-5p,0.03335314,0.78113
hsa-miR-769-3p,0.03414403,-1.00445
hsa-miR-514b-5p,0.03445239,-1.17719
hsa-miR-198,0.03557377,-0.52198
hsa-miR-766-5p,0.03899448,-0.65877
hsa-miR-345-3p,0.03909291,-0.96335
hsa-miR-223-3p,0.04099947,0.85646
hsa-miR-146a-5p,0.04108459,0.98554
hsa-miR-221-3p,0.0418784,1.30556
hsa-miR-374c-5p,0.0426433,-1.14178
hsa-miR-4647,0.04285844,-1.13375
hsa-miR-363-5p,0.04311761,-1.01179
hsa-miR-122-5p,0.04460963,-0.4703
hsa-miR-449b-5p,0.04511159,-0.99384
hsa-miR-922,0.04550012,-0.95547
