,0,1
0,2001,21.3
1,2004.5,14.3
2,2006.3,16.7
3,2008.2,2.9
4,2009.8,8.8
5,2010.4,21.7
6,2011,13.4
7,2011.7,11.8
8,2012.4,41.6
9,2012.4,21.6
10,2012.5,17.5
11,2012.8,18.2
12,2012.9,36.9
13,2013,25.7
14,2014.2,8
15,2014.3,14
16,2014.4,11.8
17,2014.4,12.1
18,2014.5,21.6
19,2014.6,23.3
20,2014.6,12.5
21,2014.7,9.1
22,2014.8,25.9
23,2014.8,16.7
24,2014.8,13.5
25,2015.3,16.9
26,2015.3,10.9
27,2015.6,16
28,2016,58.9
29,2016.3,8.3
30,2016.6,12.1
31,2016.7,5.7
32,2017,12.6
33,2017.1,10.9
34,2017.3,13.8
35,2017.3,11.8
36,2017.4,14.8
37,2017.5,5.9
38,2017.6,12.7
39,2017.7,21.3
40,2017.8,18.7
41,2018,29.1
42,2018,24.8
43,2018.3,31.4
44,2018.4,7.2
45,2018.6,10.9
46,2018.7,30.6
47,2018.8,35.6
48,2018.8,47
49,2018.9,17.5
50,2018.9,17.7
51,2018.9,7.3
52,2019,31
53,2019.1,19.7
54,2019.2,15.5
55,2019.2,37
56,2019.3,5.8
57,2019.4,8
58,2019.4,7.9
59,2019.5,21.6
60,2019.5,15.9
61,2019.6,5.7
62,2019.7,10.7
63,2019.7,9.5
64,2019.7,16.5
65,2019.8,12.5
66,2019.9,22.8
67,2020,14.5
68,2020.1,11.7
69,2020.4,16.4
70,2020.6,7
71,2020.6,4.7
72,2020.6,10.5
73,2020.6,15.1
74,2020.7,14.1
75,2020.8,6.1
76,2021,9.6
77,2021,4.6
78,2021.1,9.3
79,2021.2,6.8
80,2021.2,10.7
81,2021.4,19.7
82,2021.6,13.6
83,2021.7,29.7
84,2022,12.6
85,2022,23.7
86,2022,7.1
87,2022,8.3
88,2022,1.9
89,2022,14.5
90,2022.1,4.6
91,2022.1,1.9
92,2022.2,9.3
93,2022.2,11.1
94,2022.2,22.3
95,2022.3,4
96,2022.3,4.1
97,2022.6,8.7
98,2022.8,19.2
99,2023,4.8
100,2023.2,7.4
101,2023.2,6.7
102,2023.3,8.3
103,2023.5,19.9
104,2023.6,11
105,2023.6,3.9
106,2023.6,13.3
107,2023.7,6.8
108,2023.9,36.7
109,2024.4,3
110,2024.5,17.7
111,2024.6,17.3
112,2024.6,13.5
113,2024.8,36.3
114,2024.9,18.9
115,2024.9,17.6
116,2025.1,6.4
117,2025.1,11.9
118,2025.6,16.4
119,2025.6,16.3
120,2025.7,12.4
121,2025.7,17
122,2026,27.4
123,2026.3,25
124,2026.6,9.6
125,2027.5,21.6
126,2028.2,7.7
127,2028.5,30.8
128,2030.3,17.5
129,2031.9,22.1
130,2032.1,9.9
131,2034.2,8.6
132,2034.5,5.1
133,2034.9,7.1
134,2034.9,13.9
135,2035,9.7
136,2035.4,18.8
137,2035.5,10.4
138,2035.6,14.2
139,2035.6,11.9
140,2035.6,7.5
141,2035.8,17.4
142,2036.3,8
143,2036.4,55.5
144,2037.2,8.9
145,2037.2,3.1
146,2037.3,5.3
147,2037.7,8.7
148,2037.8,10.5
149,2038.1,32.1
150,2038.2,9
151,2038.3,8.1
152,2038.5,4
153,2039.1,5.6
154,2039.2,6.5
155,2039.2,7.6
156,2039.3,1.8
157,2039.4,17.5
158,2039.5,4.9
159,2039.7,9.1
160,2039.7,8.7
161,2039.7,2
162,2039.7,8.8
163,2039.7,8.7
164,2039.8,21.3
165,2040,3.5
166,2040,5
167,2040,3.1
168,2040.1,5.6
169,2040.1,10.6
170,2040.2,3.7
171,2040.3,6.3
172,2040.3,8.4
173,2040.4,10.1
174,2040.4,5.7
175,2040.4,6.2
176,2040.5,4.2
177,2040.5,8
178,2040.7,12.7
179,2040.8,8.6
180,2040.8,11.3
181,2040.9,11.3
182,2040.9,7.2
183,2041,4.7
184,2041,25
185,2041,9
186,2041,13.6
187,2041.1,3.9
188,2041.1,38.4
189,2041.1,7.3
190,2041.1,5.4
191,2041.3,4.4
192,2041.4,8.3
193,2041.4,4.8
194,2041.5,1.7
195,2041.8,6
196,2042.1,12.7
197,2044.6,16
198,2045.6,21.6
199,2045.7,22.3
200,2045.8,12
201,2046,13.4
202,2046.3,19.9
203,2046.4,8.2
204,2049.9,6
205,2051.2,6.7
206,2053.7,9.1
207,2053.9,12.2
208,2054.2,12.7
209,2054.8,17.5
210,2057.6,13
211,2057.9,36.7
212,2065.8,9.9
213,2068.2,9
214,2068.6,15.1
215,2071.4,8.2
216,2075.7,23.6
217,2075.9,5
218,2076,14.3
219,2076.1,12.5
220,2076.6,8.9
221,2076.8,15.9
222,2078.5,12
223,2078.5,42.8
224,2079.1,15.9
225,2079.3,39
226,2079.4,8
227,2079.7,23.2
228,2079.8,24.1
229,2080.9,3.1
230,2080.9,2.6
231,2081.1,16.1
232,2081.2,7.5
233,2081.6,4.8
234,2081.8,2.2
235,2081.8,13.9
236,2082,17.7
237,2082.5,19
238,2085.5,11.3
239,2086.2,7.6
240,2086.5,12.8
241,2087,7
242,2088.4,24.3
243,2088.6,9.8
244,2088.7,30.7
245,2088.8,5.8
246,2090.1,23
